Buono,Cattivo
Altamente Coinvolgente,Leggermente Avvincente
Freddo,Caldo
Strano,Normale
Colorato,Senza Colore
Da Una Buona Sensazione,Da Una Sensazione Strana
Ti Fa Sentire Bene,Ti Fa Sentire Male
Meraviglioso,Non Eccezionale
Caro,Economico
Arma Sopravvalutata,Arma Sottovalutata
Comune,Raro
Sexy,Poco Sexy 
Soggetto Difficile,Soggetto Facile
Famoso,Sconosciuto
Facile Da Usare,Difficile Da Usare
Strano,Normale
Pulito,Sporco
Richiede Abilità,Richiede Fortuna
Saporito,Insipido
Argomento Affascinante,Argomento Noioso
Bravo Attore,Cattivo Attore
Hipster,Basico
Lavoro Sicuro,Lavoro Pericoloso
Scienza,Fantasia
Formale,Informale
Strapagato,Sottopagato
Bagnato,Asciutto
Abilità Sopravvalutata,Abilità Sottovalutata
Permesso,Vietato
Canzone Felice,Canzone Triste
Durevole,Fragile
Figo,Sfigato
Cattivo,Buono
Il Giorno Più Bello Dell'anno,Il Giorno Peggiore Dell'anno
Buona Abitudine,Cattiva Abitudine
Amante Dei Cani,Amante Dei Gatti
Amare Apertamente,Piacere Peccaminoso
Talentuoso,Senza Talento
Chiaro,Scuro
Attore Sopravvalutato,Attore Sottovalutato
Facile Da Trovare,Difficile Da Trovare
Bellissimo Uomo,Uomo Brutto
Facile Da Ricordare,Difficile Da Ricordare
Intellettuale,Poco Colto
Sano,Malsano
Buon Uomo,Uomo Cattivo
Storicamente Irrilevante,Storicamente Importante
Peloso,Glabro
Flessibile,Rigido
Animale Esotico,Animale Domestico Normale
Estroverso,Introverso
Il Film Era Meglio,Il Libro Era Meglio
Buon Film,Brutto Film
Bello,Brutto
Succede All'improvviso,Succede Lentamente
Carriera,Lavoro
Odiato,Amato
Il Lato Oscuro Della Forza,Il Lato Chiaro Della Forza
Buona Farcitura Per Pizza,Cattivo Condimento Per Pizza
Utopia,Distopia
Persona Immatura,Persona Matura
Cosa Sopravvalutata Da Possedere,Cosa Sottovalutata Da Possedere
Bella Persona,Persona Cattiva
Film D'avventura,Film D'azione
Altamente Coinvolgente,Leggermente Coinvolgente
Alto Contenuto Calorico,a Basso Contenuto Calorico
Fa Stare Bene,Fa Stare Male
Essenziale,Non Essenziale
Fisica - Materia Difficile,Fisica - Materia Facile
Eccitato,Stanco
Buon Attore,Cattivo Attore
Fisica - Argomento Difficile,Fisica - Argomento Facile
Credibile,Incredibile
Di Classe,Sciatto
Permanente,Provvisorio
Non Sembra Una Persona,Sembra Una Persona
Ha Un Buon Sapore,Ha Un Cattivo Sapore
Gioco,Sport
Cool,Non Cool
La Più Grande Persona Vivente,La Peggiore Persona Vivente
Sopravvalutato,Sottovalutato
Cibo Sano,Cibo Malsano
Etico,Immorale
Buon Regalo,Brutto Regalo
Alla Moda,Demodé
Terrorista,Combattente Per La Libertà
Perdonabile,Imperdonabile
Nocivo,Innocuo
Igienico,Antigienico
Buona Musica,Cattiva Musica
Utile,Inutile
Arte,Film Che Godzilla Avrebbe Rovinato
Importante,Insignificante
Difficile Da Scrivere,Facile Da Scrivere
Virtù,Vizio
Musicista Sopravvalutato,Musicista Sottovalutato
Attività Popolare,Attività Impopolare
Intero,Diviso
Affidabile,Inaffidabile
Difficile Da Uccidere,Facile Da Uccidere
Stabile,Instabile
Animale Appuntito,Animale Rotondo
Buon Programma Televisivo,Brutto Programma Televisivo
Tradizionalmente Femminile,Tradizionalmente Maschile
Parte Utile Del Corpo,Parte Del Corpo Inutile
Classico,Moda
Brillante,Stupido
Forte,Debole
Invenzione Utile,Invenzione Inutile
Conservatore,Liberale
Popolare,Impopolare
Nemico,Amico
Eccitante,Noioso
Puzzolente in Senso Buono,Puzzolente in Senso Negativo
Eroe,Furfante
Cosa Sopravvalutata Da Fare,Cosa Sottovalutata Da Fare
Utile in Caso Di Emergenza,Inutile in Caso Di Emergenza
Per Adulti,Per Bambini
Difficile Da Fare,Facile Da Fare
Impagabile,Senza Valore
Nutrire,Ci Pensa La Natura
Democrazia,Dittatura
Strano Augrio,Augurio Normale
Nome Del Gatto,Nome Del Cane
Partigiano,Apartitico
Infinito,Limitato
Evento Formale,Evento Casuale
Buon Investimento,Cattivo Investimento
Argomento Pesante,Chiacchiere
Piccante,Dolce
Sacrilego,Religioso
Arte,Non Arte
Vietato,Illegale
Elitario,Popolare
in Controllo,Fuori Controllo
Volume Alto,Volume Basso
Conoscenza Pubblica,Segreto
Troppo Grande,Troppo Piccolo
Lungo,Corto
Il Miglior Anno Della Storia,L'anno Peggiore Della Storia
Capitalista,Socialista
Fatto Ben Noto,Fatto Poco Noto
in Movimento,Stazionario
Problema Globale,Problema Locale
Abilità,Talento
L'era Migliore Per  I Viaggi Nel Tempo,L'era Peggiore Per I Viaggi Nel Tempo
Il Migliore,Il Peggiore
Grande Numero,Piccolo Numero
FALSO,VERO
Moderno,Antiquato
Bella Parola,Brutta Parola
Minuscolo,Piccolo
Naturale,Innaturale
Persona Fasulla,Persona Genuina
Originale,Derivato
Colore Sexy,Colore Poco Sexy
Vantaggi Per Tutti,Vantaggi Per Te
Potente,Impotente
Vaporizzatore,Non Svapa
Ortaggio,Frutta
Pseudoscienza,Scienza
Argomento Serio,Argomento Divertente
Sano,Zoppo
Notizia,Pettegolezzo
Facile Sedersi,Difficile Sedersi
Troppo,Non Abbastanza
Verticale,Orizzontale
Profumato,Non Profumato
Non Abbracciabile,Abbracciabile
Omogeneo,Eterogeneo
Esclusivo,Inclusivo
Buona Razza Di Cane,Razza Di Cane Cattiva
Commercio,Arte
Icona Pop (Michael Jackson, Britney Spears, Beyonce, Elton John),Meteora
Buoni Consigli,Cattivi Consigli
Caramelle Buone,Caramelle Che Non a Tutti Piacciono  (Liquirizia)
Radicale,Tradizionale
Buona Sensazione in Bocca,Brutta Sensazione in Bocca
Legale,Illegale
Pensiero Superficiale,Pensiero Profondo
Buona Scuola,Cattiva Scuola
Sempre Puntuali,Mai Puntuale
Vivrà Fino a 100 Anni,Non Vivrà Fino a 100 Anni
Buon Personaggio Disney,Cattivo Personaggio Disney
Buon Presidente,Cattivo Presidente
Strano,Singolare
Non Famoso,Famoso
Dio Più Potente,Il Dio Meno Potente
Persona Divertente,Persona Noiosa
Libro Sopravvalutato,Libro Sottovalutato
Il Miglior Lavoro,Il Peggior Lavoro
Specie Sovrappopolate (Cani, Gatti, Cervi),Specie in via Di Estinzione - (Rinoceronti Neri, Tigri Bianche, Elefanti)
Prato,Erbaccia
Terrificante,Emozionante
Inaspettato,Previsto
Persona Che Ti Potrebbe Sopraffare,Persona Che Potresti Sopraffare
Gioco Sopravvalutato,Gioco Sottovalutato
Non Vuoi Che I Tuoi Genitori Ti Guardino Mentre Lo Fai,Vuoi Che I Tuoi Genitori Ti Guardino Mentre Lo Fai
Persone Malvagie,Brava Gente
